question,answer,wrong_answer,A,B,C,D,TFQs,LFGQs,MCQs,3_MC,2_MC
确诊子宫内膜结核的依据是,子宫内膜病理活检,"['月经血结核菌培养', '子宫输卵管碘油造影', '盆腔X线片见孤立钙化点']",月经血结核菌培养, 子宫输卵管碘油造影, 盆腔X线片见孤立钙化点,子宫内膜病理活检,子宫内膜病理活检是确诊子宫内膜炎的重要手段吗？回答'是'或者'不是'即可。,确诊子宫内膜结核的依据是什么？回答一句话即可。,请选择一个正确选项。确诊子宫内膜结核的依据是：A 月经血结核菌培养 ，B  子宫输卵管碘油造影 ，C  盆腔X线片见孤立钙化点，D 子宫内膜病理活检。只能选择一个选项，禁止解释。,请选择一个正确选项。确诊子宫内膜结核的依据是：A 月经血结核菌培养 ，B  子宫输卵管碘油造影 ，C 子宫内膜病理活检。只能选择一个选项，禁止解释。,请选择一个正确选项。确诊子宫内膜结核的依据是：A 月经血结核菌培养 ，B 子宫内膜病理活检。只能选择一个选项，禁止解释。
不协调性子宫收缩乏力时，首选药物为,肌内注射杜冷丁,"['静脉滴注肼苯达嗪', '静脉滴注硫酸镁', '静脉推注氯丙嗪']",静脉滴注肼苯达嗪, 静脉滴注硫酸镁, 静脉推注氯丙嗪,肌内注射杜冷丁,不协调性子宫收缩乏力时，首选药物是肌内注射杜冷丁吗？回答'是'或者'不是'即可。,不协调性子宫收缩乏力时，首选药物为什么？回答一句话即可。,请选择一个正确选项。不协调性子宫收缩乏力时，首选药物为：A 静脉滴注肼苯达嗪 ，B  静脉滴注硫酸镁 ，C  静脉推注氯丙嗪，D 肌内注射杜冷丁。只能选择一个选项，禁止解释。,请选择一个正确选项。不协调性子宫收缩乏力时，首选药物为：A 静脉滴注肼苯达嗪 ，B  静脉滴注硫酸镁 ，C 肌内注射杜冷丁。只能选择一个选项，禁止解释。,请选择一个正确选项。不协调性子宫收缩乏力时，首选药物为：A 静脉滴注肼苯达嗪 ，B 肌内注射杜冷丁。只能选择一个选项，禁止解释。
尿道球部损伤最常见的病因是,会阴部骑跨伤,"['尿道镜检查', '会因不刺伤', '骨盆骨折']",尿道镜检查, 会因不刺伤, 骨盆骨折,会阴部骑跨伤,尿道球部损伤最常见的病因是会阴部骑跨伤吗？回答'是'或者'不是'即可。,尿道球部损伤最常见的病因是什么？回答一句话即可。,请选择一个正确选项。尿道球部损伤最常见的病因是：A 尿道镜检查 ，B  会因不刺伤 ，C  骨盆骨折，D 会阴部骑跨伤。只能选择一个选项，禁止解释。,请选择一个正确选项。尿道球部损伤最常见的病因是：A 尿道镜检查 ，B  会因不刺伤 ，C 会阴部骑跨伤。只能选择一个选项，禁止解释。,请选择一个正确选项。尿道球部损伤最常见的病因是：A 尿道镜检查 ，B 会阴部骑跨伤。只能选择一个选项，禁止解释。
既能产生抗体又能提呈抗原的免疫细胞是,B淋巴细胞,"['NK细胞', '巨噬细胞', 'T细胞']",NK细胞, 巨噬细胞, T细胞,B淋巴细胞,B淋巴细胞是既能产生抗体又能提呈抗原的免疫细胞吗？回答'是'或者'不是'即可。,既能产生抗体又能提呈抗原的免疫细胞是什么？回答一句话即可。,请选择一个正确选项。既能产生抗体又能提呈抗原的免疫细胞是：A NK细胞 ，B  巨噬细胞 ，C  T细胞，D B淋巴细胞。只能选择一个选项，禁止解释。,请选择一个正确选项。既能产生抗体又能提呈抗原的免疫细胞是：A NK细胞 ，B  巨噬细胞 ，C B淋巴细胞。只能选择一个选项，禁止解释。,请选择一个正确选项。既能产生抗体又能提呈抗原的免疫细胞是：A NK细胞 ，B B淋巴细胞。只能选择一个选项，禁止解释。
属于子宫内膜癌ⅡA期的是,累及宫颈黏膜腺体,"['病变侵犯肌层＞1/2', '癌累及阴道上1/3段', '病变侵犯浆膜和（或）附件']",病变侵犯肌层＞1/2, 癌累及阴道上1/3段, 病变侵犯浆膜和（或）附件,累及宫颈黏膜腺体,属于子宫内膜癌IIA期的是累及宫颈黏膜腺体吗？回答'是'或者'不是'即可。,属于子宫内膜癌ⅡA期的是什么？回答一句话即可。,请选择一个正确选项。属于子宫内膜癌ⅡA期的是：A 病变侵犯肌层＞1/2 ，B  癌累及阴道上1/3段 ，C  病变侵犯浆膜和（或）附件，D 累及宫颈黏膜腺体。只能选择一个选项，禁止解释。,请选择一个正确选项。属于子宫内膜癌ⅡA期的是：A 病变侵犯肌层＞1/2 ，B  癌累及阴道上1/3段 ，C 累及宫颈黏膜腺体。只能选择一个选项，禁止解释。,请选择一个正确选项。属于子宫内膜癌ⅡA期的是：A 病变侵犯肌层＞1/2 ，B 累及宫颈黏膜腺体。只能选择一个选项，禁止解释。
新生儿败血症有价值的诊断依据是,血培养阳性,"['高热', '白细胞总数增加', '皮疹明显']",高热, 白细胞总数增加, 皮疹明显,血培养阳性,新生儿败血症的诊断依据是血培养阳性吗？回答'是'或者'不是'即可。,新生儿败血症有价值的诊断依据是什么？回答一句话即可。,请选择一个正确选项。新生儿败血症有价值的诊断依据是：A 高热 ，B  白细胞总数增加 ，C  皮疹明显，D 血培养阳性。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症有价值的诊断依据是：A 高热 ，B  白细胞总数增加 ，C 血培养阳性。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症有价值的诊断依据是：A 高热 ，B 血培养阳性。只能选择一个选项，禁止解释。
过期妊娠需立即终止妊娠的指征是,三度羊水粪染,"['尿雌激素/肌酐比值为16', '无应激试验为反应型', '12小时胎动为15次']",尿雌激素/肌酐比值为16, 无应激试验为反应型, 12小时胎动为15次,三度羊水粪染,过期妊娠需要立即终止妊娠的指征是三度羊水粪染吗？回答'是'或者'不是'即可。,过期妊娠需立即终止妊娠的指征是什么？回答一句话即可。,请选择一个正确选项。过期妊娠需立即终止妊娠的指征是：A 尿雌激素/肌酐比值为16 ，B  无应激试验为反应型 ，C  12小时胎动为15次，D 三度羊水粪染。只能选择一个选项，禁止解释。,请选择一个正确选项。过期妊娠需立即终止妊娠的指征是：A 尿雌激素/肌酐比值为16 ，B  无应激试验为反应型 ，C 三度羊水粪染。只能选择一个选项，禁止解释。,请选择一个正确选项。过期妊娠需立即终止妊娠的指征是：A 尿雌激素/肌酐比值为16 ，B 三度羊水粪染。只能选择一个选项，禁止解释。
急性乳腺炎的治疗原则是,消除感染，排空乳汁,"['切开引流，静脉应用抗菌素', '细菌培养，用敏感抗菌素', '停止哺乳，口服溴隐亭']",切开引流，静脉应用抗菌素, 细菌培养，用敏感抗菌素, 停止哺乳，口服溴隐亭,消除感染，排空乳汁,清除感染和排空乳汁是治疗急性乳腺炎的共同原则吗？回答'是'或者'不是'即可。,急性乳腺炎的治疗原则是什么？回答一句话即可。,请选择一个正确选项。急性乳腺炎的治疗原则是：A 切开引流，静脉应用抗菌素 ，B  细菌培养，用敏感抗菌素 ，C  停止哺乳，口服溴隐亭，D 消除感染，排空乳汁。只能选择一个选项，禁止解释。,请选择一个正确选项。急性乳腺炎的治疗原则是：A 切开引流，静脉应用抗菌素 ，B  细菌培养，用敏感抗菌素 ，C 消除感染，排空乳汁。只能选择一个选项，禁止解释。,请选择一个正确选项。急性乳腺炎的治疗原则是：A 切开引流，静脉应用抗菌素 ，B 消除感染，排空乳汁。只能选择一个选项，禁止解释。
过期妊娠OCT试验阳性的处理是,剖宫产,"['破膜引产', '促宫颈成熟', '胎头吸引助产']",破膜引产, 促宫颈成熟, 胎头吸引助产,剖宫产,过期妊娠OCT试验阳性的处理是剖宫产吗？回答'是'或者'不是'即可。,过期妊娠OCT试验阳性的处理是什么？回答一句话即可。,请选择一个正确选项。过期妊娠OCT试验阳性的处理是：A 破膜引产 ，B  促宫颈成熟 ，C  胎头吸引助产，D 剖宫产。只能选择一个选项，禁止解释。,请选择一个正确选项。过期妊娠OCT试验阳性的处理是：A 破膜引产 ，B  促宫颈成熟 ，C 剖宫产。只能选择一个选项，禁止解释。,请选择一个正确选项。过期妊娠OCT试验阳性的处理是：A 破膜引产 ，B 剖宫产。只能选择一个选项，禁止解释。
与系统性红斑狼疮活动性密切相关的自身抗体是,抗dsDNA抗体,"['抗环瓜氨酸肽抗体', '抗SSA抗体', '抗scl-70抗体']",抗环瓜氨酸肽抗体, 抗SSA抗体, 抗scl-70抗体,抗dsDNA抗体,与系统性红斑狼疮活动性密切相关的自身抗体是抗dsDNA抗体吗？回答'是'或者'不是'即可。,与系统性红斑狼疮活动性密切相关的自身抗体是什么？回答一句话即可。,请选择一个正确选项。与系统性红斑狼疮活动性密切相关的自身抗体是：A 抗环瓜氨酸肽抗体 ，B  抗SSA抗体 ，C  抗scl-70抗体，D 抗dsDNA抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。与系统性红斑狼疮活动性密切相关的自身抗体是：A 抗环瓜氨酸肽抗体 ，B  抗SSA抗体 ，C 抗dsDNA抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。与系统性红斑狼疮活动性密切相关的自身抗体是：A 抗环瓜氨酸肽抗体 ，B 抗dsDNA抗体。只能选择一个选项，禁止解释。
动物感染后引起母畜流产的病原体是,布鲁菌,"['鼠疫杆菌', '钩端螺旋体', '空肠弯曲菌']",鼠疫杆菌, 钩端螺旋体, 空肠弯曲菌,布鲁菌,动物感染后引起母畜流产的病原体是布鲁菌吗？回答'是'或者'不是'即可。,动物感染后引起母畜流产的病原体是什么？回答一句话即可。,请选择一个正确选项。动物感染后引起母畜流产的病原体是：A 鼠疫杆菌 ，B  钩端螺旋体 ，C  空肠弯曲菌，D 布鲁菌。只能选择一个选项，禁止解释。,请选择一个正确选项。动物感染后引起母畜流产的病原体是：A 鼠疫杆菌 ，B  钩端螺旋体 ，C 布鲁菌。只能选择一个选项，禁止解释。,请选择一个正确选项。动物感染后引起母畜流产的病原体是：A 鼠疫杆菌 ，B 布鲁菌。只能选择一个选项，禁止解释。
属于良性卵巢肿瘤的是,卵泡膜细胞瘤,"['内胚窦瘤', '无性细胞瘤', '颗粒细胞瘤']",内胚窦瘤, 无性细胞瘤, 颗粒细胞瘤,卵泡膜细胞瘤,属于良性卵巢肿瘤的是卵泡膜细胞瘤吗？回答'是'或者'不是'即可。,属于良性卵巢肿瘤的是什么？回答一句话即可。,请选择一个正确选项。属于良性卵巢肿瘤的是：A 内胚窦瘤 ，B  无性细胞瘤 ，C  颗粒细胞瘤，D 卵泡膜细胞瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。属于良性卵巢肿瘤的是：A 内胚窦瘤 ，B  无性细胞瘤 ，C 卵泡膜细胞瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。属于良性卵巢肿瘤的是：A 内胚窦瘤 ，B 卵泡膜细胞瘤。只能选择一个选项，禁止解释。
卵巢浆液性乳头状癌的标志物是,CA125,"['AFP', 'ACTH', 'β-hCG']",AFP, ACTH, β-hCG,CA125,卵巢浆液性乳头状癌的标志物是CA125吗？回答'是'或者'不是'即可。,卵巢浆液性乳头状癌的标志物是什么？回答一句话即可。,请选择一个正确选项。卵巢浆液性乳头状癌的标志物是：A AFP ，B  ACTH ，C  β-hCG，D CA125。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢浆液性乳头状癌的标志物是：A AFP ，B  ACTH ，C CA125。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢浆液性乳头状癌的标志物是：A AFP ，B CA125。只能选择一个选项，禁止解释。
符合排卵性功血子宫内膜变化的是,分泌型子宫内膜,"['增生型子宫内膜', '萎缩型子宫内膜', '子宫内膜腺瘤型增生过长']",增生型子宫内膜, 萎缩型子宫内膜, 子宫内膜腺瘤型增生过长,分泌型子宫内膜,符合排卵性功血子宫内膜变化的是分泌型子宫内膜炎吗？回答'是'或者'不是'即可。,符合排卵性功血子宫内膜变化的是什么？回答一句话即可。,请选择一个正确选项。符合排卵性功血子宫内膜变化的是：A 增生型子宫内膜 ，B  萎缩型子宫内膜 ，C  子宫内膜腺瘤型增生过长，D 分泌型子宫内膜。只能选择一个选项，禁止解释。,请选择一个正确选项。符合排卵性功血子宫内膜变化的是：A 增生型子宫内膜 ，B  萎缩型子宫内膜 ，C 分泌型子宫内膜。只能选择一个选项，禁止解释。,请选择一个正确选项。符合排卵性功血子宫内膜变化的是：A 增生型子宫内膜 ，B 分泌型子宫内膜。只能选择一个选项，禁止解释。
妊娠期甲亢的首选治疗措施是,丙基硫氧嘧啶,"['普萘洛尔（心得安）', '甲状腺次全切除', '甲巯咪唑（他巴唑）']",普萘洛尔（心得安）, 甲状腺次全切除, 甲巯咪唑（他巴唑）,丙基硫氧嘧啶,妊娠期甲亢的首选治疗措施是丙基硫氧嘧啶吗？回答'是'或者'不是'即可。,妊娠期甲亢的首选治疗措施是什么？回答一句话即可。,请选择一个正确选项。妊娠期甲亢的首选治疗措施是：A 普萘洛尔（心得安） ，B  甲状腺次全切除 ，C  甲巯咪唑（他巴唑），D 丙基硫氧嘧啶。只能选择一个选项，禁止解释。,请选择一个正确选项。妊娠期甲亢的首选治疗措施是：A 普萘洛尔（心得安） ，B  甲状腺次全切除 ，C 丙基硫氧嘧啶。只能选择一个选项，禁止解释。,请选择一个正确选项。妊娠期甲亢的首选治疗措施是：A 普萘洛尔（心得安） ，B 丙基硫氧嘧啶。只能选择一个选项，禁止解释。
在抗病毒感染中，有局部免疫作用的抗体是,SIgA,"['IgG', 'IgM', 'IgA']",IgG, IgM, IgA,SIgA,在抗病毒感染中，SIgA是一种局部免疫作用的抗体吗？回答'是'或者'不是'即可。,在抗病毒感染中，有局部免疫作用的抗体是什么？回答一句话即可。,请选择一个正确选项。在抗病毒感染中，有局部免疫作用的抗体是：A IgG ，B  IgM ，C  IgA，D SIgA。只能选择一个选项，禁止解释。,请选择一个正确选项。在抗病毒感染中，有局部免疫作用的抗体是：A IgG ，B  IgM ，C SIgA。只能选择一个选项，禁止解释。,请选择一个正确选项。在抗病毒感染中，有局部免疫作用的抗体是：A IgG ，B SIgA。只能选择一个选项，禁止解释。
